Date,Mkt-RF,SMB,HML,RMW,CMA,RF
201601,-5.74,-3.44,2.08,2.78,3.05,0.01
201602,-0.07,0.87,-0.61,3.31,1.94,0.02
201603,6.95,1,1.22,0.68,0.01,0.02
201604,0.91,1.23,3.22,-2.85,1.77,0.01
201605,1.78,-0.62,-1.62,-1.1,-2.54,0.01
201606,-0.03,0.42,-1.49,1.45,1.9,0.02
201607,3.94,2.47,-1.24,1.31,-1.16,0.02
201608,0.49,1.66,3.17,-1.85,-0.36,0.02
201609,0.27,1.81,-1.19,-2.18,0.03,0.02
201610,-2.01,-4.02,4.11,0.99,0.25,0.02
201611,4.85,6.96,8.29,-0.24,3.71,0.01
201612,1.81,0.44,3.47,1.24,-0.32,0.03
201701,1.94,-1.44,-2.76,-0.51,-1.06,0.04
201702,3.55,-2.3,-1.5,0.45,-1.8,0.04
201703,0.17,0.75,-3.33,0.63,-0.95,0.03
201704,1.08,0.41,-2.05,1.79,-1.6,0.05
201705,1.07,-2.99,-3.82,0.99,-1.66,0.06
201706,0.78,2.52,1.5,-2.26,0.04,0.06
201707,1.88,-1.64,-0.23,-0.75,-0.15,0.07
201708,0.18,-1.83,-2.13,0.2,-2.38,0.09
201709,2.49,4.76,3.15,-1.54,1.63,0.09
201710,2.25,-1.91,0.13,0.92,-3.14,0.09
201711,3.12,-0.38,-0.09,3.19,-0.1,0.08
201712,1.06,-1.05,0.05,0.73,1.79,0.09
201801,5.58,-3.21,-1.32,-0.75,-1.05,0.11
201802,-3.64,0.34,-1.1,0.53,-2.36,0.11
201803,-2.35,3.61,-0.21,-0.41,0.08,0.12
201804,0.29,0.89,0.53,-2.42,1.24,0.14
201805,2.63,4.71,-3.14,-1.98,-1.49,0.14
201806,0.49,0.77,-2.33,0.83,0.2,0.14
201807,3.2,-1.93,0.49,1.53,0.31,0.16
201808,3.46,0.65,-3.91,-0.29,-2.57,0.16
201809,0.06,-2.49,-1.62,0.65,1.36,0.15
201810,-7.64,-4.38,3.38,1.03,3.6,0.19
201811,1.71,-0.81,0.36,-0.61,0.4,0.18
201812,-9.55,-2.81,-1.92,-0.03,0.24,0.19
201901,8.36,2.91,-0.39,-0.73,-1.65,0.21
201902,3.42,1.72,-2.66,0.16,-1.54,0.18
201903,1.1,-3.52,-4.14,0.88,-0.9,0.19
201904,3.97,-1.15,2.13,1.61,-2.18,0.21
201905,-6.92,-1.56,-2.45,-0.48,1.76,0.21
201906,6.99,0.19,-0.64,0.45,-0.55,0.18
201907,1.22,-1.82,0.5,-0.13,0.37,0.19
201908,-2.55,-3.25,-4.77,0.53,-0.62,0.16
201909,1.42,0.29,6.76,1.82,3.38,0.18
201910,2.07,0.25,-1.92,0.43,-1.03,0.15
201911,3.87,0.39,-2,-1.64,-1.14,0.12
201912,2.76,0.99,1.73,0.05,1.19,0.14
202001,-0.09,-4.37,-6.22,-1.19,-2.19,0.13
202002,-8.15,0.08,-3.82,-1.43,-2.53,0.12
202003,-13.35,-8.18,-13.83,-1.61,1.19,0.12
202004,13.58,2.57,-1.34,2.76,-1.02,0
202005,5.59,1.92,-5,0.96,-3.16,0.01
202006,2.44,1.95,-2.17,0.14,0.55,0.01
202007,5.83,-3.19,-1.44,0.38,0.97,0.01
202008,7.62,-0.89,-3.02,4.27,-1.51,0.01
202009,-3.64,-0.01,-2.72,-1.38,-1.93,0.01
202010,-2.08,4.67,4.25,-0.77,-0.57,0.01
202011,12.44,7.12,2.09,-2.25,1.28,0.01
202012,4.63,4.93,-1.68,-1.97,-0.06,0.01
202101,-0.07,6.81,3.22,-3.65,4.97,0
202102,2.81,4.5,7.2,0.33,-1.99,0
202103,3.16,-0.84,7.35,6.35,3.52,0
202104,4.97,-3.16,-1.02,2.43,-2.72,0
202105,0.29,1.27,7.04,2.34,3.01,0
202106,2.73,-0.3,-7.86,-2.14,-0.93,0
202107,1.34,-4.55,-1.79,5.5,-0.59,0
202108,2.95,-0.66,-0.23,-0.26,-1.72,0
202109,-4.4,1.12,5.12,-1.92,2,0
202110,6.63,-2.7,-0.53,1.71,-1.54,0
202111,-1.58,-1.7,-0.37,7.19,1.7,0
202112,3.24,-0.78,3.25,4.88,4.29,0.01
202201,-6.15,-4.01,12.86,0.77,7.73,0
202202,-2.28,2.86,3.06,-2.03,3.03,0
202203,3.08,-2.11,-1.9,-1.5,3.21,0
202204,-9.41,-0.35,6.18,3.41,5.92,0
202205,-0.33,-0.03,8.44,1.55,3.95,0.03
202206,-8.4,1.33,-6,1.76,-4.58,0.06
202207,9.57,1.78,-4.15,0.77,-6.85,0.08
202208,-3.77,1.49,0.18,-4.78,1.32,0.19
202209,-9.34,-0.97,0.03,-1.37,-0.77,0.19
202210,7.86,1.81,7.97,3.27,6.43,0.23
202211,4.69,-2.75,1.48,6.3,3.15,0.29
202212,-6.38,-0.19,1.34,0.32,4.28,0.33
202301,6.59,4.39,-3.94,-2.42,-4.43,0.35
202302,-2.57,0.58,-0.8,0.97,-1.51,0.34
202303,2.49,-6.89,-9.05,2.27,-2.1,0.36
202304,0.63,-2.57,-0.12,2.42,2.85,0.35
202305,0.33,-0.43,-7.79,-1.78,-7.08,0.36
202306,6.46,1.28,-0.13,2.32,-1.54,0.4
202307,3.21,2.86,4.06,-0.59,0.66,0.45
202308,-2.36,-3.65,-1.15,3.35,-2.41,0.45
202309,-5.23,-1.78,1.49,1.87,-0.77,0.43
202310,-3.15,-4.03,0.2,2.41,-0.69,0.47
202311,8.88,-0.2,1.67,-3.73,-1.08,0.44
202312,4.86,7.27,4.89,-2.97,1.29,0.43
202401,0.73,-5.72,-2.38,0.67,-0.97,0.47
202402,5.07,-0.82,-3.43,-2.06,-2.17,0.42
202403,2.84,-1.21,4.16,1.33,1.14,0.43
202404,-4.65,-2.59,-0.45,1.14,-0.31,0.47
202405,4.32,0.59,-1.31,3.17,-2.85,0.44
202406,2.8,-4.32,-3.36,0.56,-1.8,0.41
202407,1.22,8.34,5.62,0.26,0.28,0.45
202408,1.61,-3.55,-1.1,0.76,0.82,0.48
202409,1.73,-0.92,-2.76,0.2,-0.29,0.4
202410,-1,-0.89,0.86,-1.48,0.98,0.39
202411,6.49,4.59,0.15,-2.31,-2.05,0.4
202412,-3.15,-3.83,-3,1.89,-1.21,0.37
202501,2.8,-1.23,1.63,-2.35,-3.24,0.37
202502,-2.43,-4.91,4.91,1.08,3.06,0.33
202503,-6.39,-1.49,2.9,2.11,-0.47,0.34
202504,-0.84,-1.86,-3.4,-2.85,-2.67,0.35
202505,6.06,-0.72,-2.88,1.29,2.51,0.38
202506,4.86,-0.02,-1.61,-3.2,1.44,0.34
202507,1.98,-0.15,-1.27,-0.31,-2.07,0.34
202508,1.85,4.88,4.42,-0.68,2.08,0.38
202509,3.39,-2.18,-1.05,-2.06,-2.22,0.33
202510,1.96,-1.3,-3.1,-5.21,-4.03,0.37
202511,-0.13,1.47,3.76,1.42,0.68,0.3
202512,-0.36,-0.22,2.42,0.4,0.37,0.34
202601,1.02,3.26,3.7,1.83,1.81,0.3
