Date,Mkt-RF,SMB,HML,RMW,CMA,RF
201601,-6.43,-0.62,-1.49,2.47,2.28,0.01
201602,-1.71,1.47,0.37,0.65,0.88,0.02
201603,6.7,1.79,1.19,0.74,-1.12,0.02
201604,2.38,-0.56,3.35,-1.88,0.9,0.01
201605,-0.38,1.41,-2.87,1.76,-0.48,0.01
201606,-5.01,-2.24,-1.64,3.25,2.82,0.02
201607,4.44,1.51,0.21,0.07,-0.86,0.02
201608,0.78,1.7,1.93,-1.92,-0.01,0.02
201609,0.95,0.97,-0.15,0.32,0.03,0.02
201610,-3.08,-0.5,6.36,-3.85,2.96,0.02
201611,-2.5,1,1.92,-1.54,1.87,0.01
201612,4.72,-0.82,1.99,-0.9,1.05,0.03
201701,2.84,2.12,0.47,-0.24,0.18,0.04
201702,0.68,0.03,-2.6,2.73,-1.32,0.04
201703,4.27,-1.28,0.5,0.12,-0.28,0.03
201704,4.63,1.94,-1.3,1.6,-1.32,0.05
201705,5.03,0.02,-0.79,1.21,-0.69,0.06
201706,-0.67,1.62,2.03,-2.01,0.79,0.06
201707,3.49,0.68,2.59,-2.24,0.34,0.07
201708,0.11,0.03,-0.71,1.45,-0.03,0.09
201709,2.72,-0.16,0.47,0.33,-0.5,0.09
201710,0.59,-0.99,-0.13,0.1,-0.32,0.09
201711,-0.01,-0.29,1.29,-0.38,0.9,0.08
201712,1.47,1.54,0.5,-0.74,0.33,0.09
201801,5.52,0.64,1.1,-2.14,0.91,0.11
201802,-5.35,1.1,-0.75,0.19,-0.25,0.11
201803,-0.71,-0.56,-0.94,1.45,-1.37,0.12
201804,2.2,-0.7,1.51,-0.52,0.43,0.14
201805,-2.73,1.07,-4.98,2.38,-2.42,0.14
201806,-0.92,-0.9,-1.56,-0.16,-0.57,0.14
201807,2.69,-2.05,0.4,-0.53,-0.86,0.16
201808,-2.65,0.86,-2.65,0.88,-1.74,0.16
201809,0.12,-1.35,2.34,-0.53,0.64,0.15
201810,-8.54,-1.5,1.47,-0.36,1.15,0.19
201811,-1.31,-1.11,-0.57,0.78,0.46,0.18
201812,-4.59,-0.52,0.95,0.7,0,0.19
201901,6.19,0.55,-0.95,1.64,-1.28,0.21
201902,2.93,-1.46,-1.23,-0.01,-0.16,0.18
201903,0.58,-1.8,-2.33,1.24,-0.87,0.19
201904,3.7,0.14,-1.04,0.34,-0.29,0.21
201905,-5.34,1.21,-1.54,-0.59,0.01,0.21
201906,5.87,-2.56,-1.32,1.49,0.1,0.18
201907,-2.56,-1.33,0.09,-1.16,-0.03,0.19
201908,-2.4,-0.66,-1.96,0.88,0,0.16
201909,2.15,-0.67,3.08,-0.46,1.31,0.18
201910,3.27,0.83,-0.5,1.25,-1.55,0.15
201911,1.77,1.89,-2.24,1.31,-1.68,0.12
201912,4.07,2.71,0.41,-0.39,0.11,0.14
202001,-2.55,0.12,-2.88,0.56,-1.78,0.13
202002,-8.98,0.2,-0.74,-0.73,-1.54,0.12
202003,-15.44,-5.06,-11.3,1.72,-3.04,0.12
202004,6.7,4.72,-3.82,2.11,-4.12,0
202005,5.43,0.81,-4.14,2.37,-4.39,0.01
202006,4.04,-1.01,1.74,-1.78,0.44,0.01
202007,3.99,2.2,-4.75,0.78,-2.25,0.01
202008,4.95,2.65,-1.74,0.99,-1.67,0.01
202009,-2.97,0.53,-3.74,2.32,-1.91,0.01
202010,-4.72,1.14,-0.2,-0.62,-0.11,0.01
202011,16.62,1.39,10.76,-3.82,1.69,0.01
