Symbol,TRBC Industry Name,TRBC Activity Name
CHRW.OQ,Ground Freight & Logistics,Ground Freight & Logistics (NEC)
AJG.N,Multiline Insurance & Brokers,Insurance Brokers
CNP.N,Multiline Utilities,Multiline Utilities
WM.N,Environmental Services & Equipment,Environmental Services & Equipment (NEC)
PRGO.N,Pharmaceuticals,Pharmaceuticals (NEC)
BA.N,Aerospace & Defense,Commercial Aircraft Manufacturing
WY.N,Specialized REITs,Timber REITs
MCD.N,Restaurants & Bars,Quick Service Restaurants
HD.N,Home Improvement Products & Services Retailers,Home Improvement Products & Services Retailers (NEC)
SPG.N,Commercial REITs,Retail REITs
HBAN.OQ,Banks,Banks (NEC)
QRVO.OQ,Semiconductors,Semiconductors (NEC)
CTRA.N,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC)
AIG.N,Property & Casualty Insurance,Property & Casualty Insurance (NEC)
AIZ.N,Property & Casualty Insurance,Property & Casualty Insurance (NEC)
COST.OQ,Discount Stores,Discount Stores (NEC)
PSKY.OQ,Entertainment Production,"Movie, TV Production & Distribution"
MCO.N,Professional Information Services,Rating Agencies
DIS.N,Broadcasting,Broadcasting (NEC)
PAYX.OQ,Employment Services,Outsourcing & Staffing Services
DHI.N,Homebuilding,Homebuilding (NEC)
TRV.N,Property & Casualty Insurance,Property & Casualty Insurance (NEC)
MOS.N,Agricultural Chemicals,Fertilizers
BWA.N,"Auto, Truck & Motorcycle Parts","Auto, Truck & Motorcycle Parts (NEC)"
WDC.OQ,Computer Hardware,Storage Devices
VTR.N,Specialized REITs,Healthcare REITs
IVZ.N,Investment Management & Fund Operators,Investment Management & Fund Operators (NEC)
AMAT.OQ,Semiconductor Equipment & Testing,Semiconductor Machinery Manufacturing
STX.OQ,Computer Hardware,Computer Hardware (NEC)
SYK.N,"Medical Equipment, Supplies & Distribution",Medical Devices & Implants
VRSN.OQ,IT Services & Consulting,IT Services & Consulting (NEC)
BBWI.N,Miscellaneous Specialty Retailers,Personal Care Products Retailers
STJ.N^A17,"Medical Equipment, Supplies & Distribution",Medical Devices & Implants
AN.N,"Auto Vehicles, Parts & Service Retailers","Auto Vehicles, Parts & Service Retailers (NEC)"
LOW.N,Home Improvement Products & Services Retailers,Home Improvement Products & Services Retailers (NEC)
BSX.N,Advanced Medical Equipment & Technology,Advanced Medical Equipment & Technology (NEC)
SYY.N,Food Retail & Distribution,Food Retail & Distribution (NEC)
FCX.N,Specialty Mining & Metals,Specialty Mining & Metals (NEC)
MAS.N,Construction Supplies & Fixtures,Construction Supplies & Fixtures (NEC)
BEN.N,Investment Management & Fund Operators,Investment Management
CELG.OQ^K19,Biotechnology & Medical Research,Bio Therapeutic Drugs
META.OQ,Online Services,Social Media & Networking
EXPD.N,"Courier, Postal, Air Freight & Land-based Logistics","Courier, Postal, Air Freight & Land-based Logistics (NEC)"
EXPE.OQ,Leisure & Recreation,Travel Agents
FLR.N,Construction & Engineering,Construction & Engineering (NEC)
AIV.N,Residential REITs,Residential REITs
NWL.OQ,"Appliances, Tools & Housewares","Appliances, Tools & Housewares (NEC)"
CL.N,Personal Products,Personal Products (NEC)
UNH.N,Managed Healthcare,Managed Healthcare (NEC)
UAA.N,Apparel & Accessories,Apparel & Accessories (NEC)
RHT.N^G19,Software,Software (NEC)
