Symbol,TRBC Industry Name,TRBC Activity Name
BOUY.PA,Construction & Engineering,Construction & Engineering (NEC)
ABE.MC^H18,Highways & Rail Tracks,Highway Operators
COB.L^A20,Aerospace & Defense,Aerospace & Defense (NEC)
SIKA.S,Specialty Chemicals,Specialty Chemicals (NEC)
GETP.PA,Highways & Rail Tracks,Highways & Rail Tracks (NEC)
HRGV.L^C25,Investment Management & Fund Operators,Investment Management
INGA.AS,Banks,Banks (NEC)
BRBY.L,Apparel & Accessories Retailers,Apparel & Accessories Retailers (NEC)
ATCA.AS^A21,Integrated Telecommunications Services,Integrated Telecommunications Services (NEC)
BAB.L,Aerospace & Defense,Aerospace & Defense (NEC)
ISP.MI,Banks,Banks (NEC)
EXOR.MI^I22,Heavy Machinery & Vehicles,Heavy Machinery & Vehicles (NEC)
HSX.L,Property & Casualty Insurance,Property & Casualty Insurance (NEC)
SCOR.PA,Reinsurance,Reinsurance (NEC)
MWDP.PA,Investment Management & Fund Operators,Investment Management
UPM.HE,Paper Products,Paper Products (NEC)
DSMN.AS^E23,Consumer Goods Conglomerates,Consumer Goods Conglomerates
AENA.MC,Airport Operators & Services,Airport Operators & Services (NEC)
EDP.LS,Electric Utilities,Electric Utilities (NEC)
INVEb.ST,Investment Holding Companies,Investment Holding Companies (NEC)
SJP.L,Investment Management & Fund Operators,Wealth Management
AHT.L^C26,Business Support Services,Industrial Equipment Rental
MFEB.MI,Broadcasting,Broadcasting (NEC)
ANTO.L,Specialty Mining & Metals,Copper Ore Mining
RHMG.DE,Aerospace & Defense,Aerospace & Defense (NEC)
BNPP.PA,Banks,Banks (NEC)
SPSN.S,"Real Estate Rental, Development & Operations","Real Estate Rental, Development & Operations (NEC)"
DEMANT.CO,"Medical Equipment, Supplies & Distribution","Medical Equipment, Supplies & Distribution (NEC)"
TECF.PA^A17,Oil Related Services and Equipment,Oil Related Services and Equipment (NEC)
SIEGn.DE,Electrical Components & Equipment,Electrical Components & Equipment (NEC)
MAP.MC,Multiline Insurance & Brokers,Multiline Insurance & Brokers (NEC)
DELB.BR^G16,Food Retail & Distribution,Food Retail & Distribution (NEC)
JYSK.CO,Banks,Banks (NEC)
SNHG.DE^E22,Department Stores,Department Stores (NEC)
TLIT.MI,Integrated Telecommunications Services,Integrated Telecommunications Services (NEC)
OCI.AS,Agricultural Chemicals,Agricultural Chemicals (NEC)
HSBA.L,Banks,Banks (NEC)
TEL.OL,Wireless Telecommunications Services,Wireless Telecommunications Services (NEC)
INVP.L,Diversified Investment Services,Diversified Investment Services
BMPS.MI,Banks,Banks (NEC)
PAGE.L,Employment Services,Executive Search Services
BKOM.PR,Banks,Banks (NEC)
BATS.L,Tobacco,Tobacco (NEC)
SKYB.L^K18,Broadcasting,Broadcasting (NEC)
SOGN.PA,Banks,Banks (NEC)
CPIE.VI,"Real Estate Rental, Development & Operations","Real Estate Rental, Development & Operations (NEC)"
OCDO.L,Department Stores,Internet & Mail Order Department Stores
IWG.L,Real Estate Services,Office Real Estate Services
TW.L,Homebuilding,Homebuilding (NEC)
MDBI.MI,Banks,Banks (NEC)
RUBF.PA,Oil & Gas Refining and Marketing,Petroleum Product Wholesale
SDR.L,Investment Management & Fund Operators,Investment Management & Fund Operators (NEC)
BAYGn.DE,Pharmaceuticals,Pharmaceuticals (NEC)
GXIG.DE,"Medical Equipment, Supplies & Distribution","Medical Equipment, Supplies & Distribution (NEC)"
US.MI^G24,Property & Casualty Insurance,Property & Casualty Insurance (NEC)
HMSO.L,Commercial REITs,Commercial REITs (NEC)
ICAG.L,Airlines,Airlines (NEC)
DTEGn.DE,Integrated Telecommunications Services,Integrated Telecommunications Services (NEC)
BWY.L,Homebuilding,Homebuilding (NEC)
FRAS.L,Miscellaneous Specialty Retailers,Sporting Goods Stores
FPE3_p.DE,Commodity Chemicals,Commodity Chemicals (NEC)
IDSI.L^F25,"Courier, Postal, Air Freight & Land-based Logistics","Courier, Postal, Air Freight & Land-based Logistics (NEC)"
AKZO.AS,Commodity Chemicals,Paints & Coatings
ELISA.HE,Integrated Telecommunications Services,Integrated Telecommunications Services (NEC)
VIV.PA,Entertainment Production,Entertainment Production (NEC)
PRY.MI,Electrical Components & Equipment,Wires & Cables
CRDI.MI,Banks,Banks (NEC)
BOLL.PA,Entertainment Production,Entertainment Production (NEC)
PROX.BR,Integrated Telecommunications Services,Integrated Telecommunications Services (NEC)
SHCS.L,Commercial REITs,Commercial REITs (NEC)
BASFn.DE,Diversified Chemicals,Diversified Chemicals
HEIO.AS,Brewers,Brewers (NEC)
BLND.L,Diversified REITs,Diversified REITs
CABK.MC,Banks,Banks (NEC)
MICP.PA,Tires & Rubber Products,Tires & Rubber Products (NEC)
FRES.L,Diversified Mining,Diversified Mining
AIRF.PA,Airlines,Airlines (NEC)
RTN.L^L23,Restaurants & Bars,Restaurants & Bars (NEC)
ZODC.PA^C18,Aerospace & Defense,Aerospace & Defense (NEC)
DNB.OL,Banks,Banks (NEC)
ATLN.S^K17,Biotechnology & Medical Research,Bio Therapeutic Drugs
ULE.L^H22,Aerospace & Defense,Aerospace & Defense (NEC)
AMS.S,Semiconductors,Semiconductors (NEC)
UMI.BR,Specialty Chemicals,Specialty Chemicals (NEC)
WLSNc.AS,Professional Information Services,Professional Information Services (NEC)
SY1G.DE,Specialty Chemicals,Specialty Chemicals (NEC)
SVT.L,Water & Related Utilities,Water & Related Utilities (NEC)
